player,team,position,age,minutes,games,goals,assists,shots,shots_on_target,passes_completed,passes,passes_pct,tackles,interceptions,clearances,touches,dispossessed,xg,xg_assist
Majid Hosseini,IR Iran,DF,,3,3,0,0,,0,86.0,106.0,81.1,7.0,6,11.0,137.0,1.0,0.0,
Manuel Akanji,Switzerland,DF,,4,4,1,0,,1,229.0,259.0,88.4,4.0,3,12.0,287.0,1.0,1.1,
Manuel Neuer,Germany,GK,,3,3,0,0,,0,115.0,127.0,90.6,0.0,0,0.0,133.0,0.0,0.0,
Marcelo Brozović,Croatia,MF,,6,6,0,0,,2,466.0,530.0,87.9,13.0,4,7.0,594.0,8.0,0.5,
Marco Asensio,Spain,FW,,2,4,1,0,,2,89.0,119.0,74.8,1.0,0,0.0,150.0,3.0,1.2,
Marcos Acuña,Argentina,DF,,4,6,0,0,,0,167.0,217.0,77.0,12.0,2,9.0,269.0,4.0,0.1,
Marcos Llorente,Spain,DF,,1,1,0,0,,0,95.0,106.0,89.6,0.0,0,0.0,107.0,0.0,0.0,
Marcus Rashford,England,FW,,1,5,3,0,,6,49.0,66.0,74.2,1.0,1,1.0,92.0,1.0,1.6,
Marcus Thuram,France,FW,,1,5,0,2,,0,27.0,39.0,69.2,3.0,0,2.0,74.0,4.0,0.2,
Mario Götze,Germany,MF,,0,2,0,0,,1,21.0,23.0,91.3,1.0,0,0.0,31.0,0.0,0.1,
Mario Pašalić,Croatia,FW,,3,7,0,0,,0,76.0,95.0,80.0,7.0,3,3.0,132.0,3.0,0.3,
Mark-Anthony Kaye,Canada,MF,,0,1,0,0,,0,51.0,61.0,83.6,2.0,0,0.0,68.0,0.0,0.0,
Marko Grujić,Serbia,MF,,0,1,0,0,,1,14.0,17.0,82.4,1.0,0,1.0,20.0,0.0,0.0,
Marko Livaja,Croatia,FW,,2,6,1,1,,4,35.0,58.0,60.3,2.0,1,1.0,83.0,2.0,0.8,
Marquinhos,Brazil,DF,,4,5,0,0,,0,352.0,368.0,95.7,5.0,2,6.0,392.0,0.0,0.2,
Marten de Roon,Netherlands,MF,,2,5,0,0,,0,97.0,119.0,81.5,7.0,2,6.0,142.0,0.0,0.0,
Martin Braithwaite,Denmark,FW,,1,2,0,0,,0,14.0,20.0,70.0,0.0,0,0.0,24.0,1.0,0.1,
Martin Hongla,Cameroon,MF,,1,2,0,0,,1,49.0,61.0,80.3,0.0,2,3.0,73.0,0.0,0.1,
Martinelli,Brazil,FW,,1,3,0,0,,3,34.0,45.0,75.6,2.0,0,1.0,70.0,2.0,0.5,
Martín Cáceres,Uruguay,DF,,1,1,0,0,,0,68.0,79.0,86.1,0.0,0,2.0,83.0,0.0,0.0,
Mason Mount,England,MF,,2,4,0,0,,1,61.0,73.0,83.6,2.0,0,0.0,91.0,2.0,0.2,
Mateo Kovačić,Croatia,MF,,7,7,0,0,,1,415.0,460.0,90.2,24.0,4,5.0,521.0,7.0,0.3,
Matheus Nunes,Portugal,MF,,0,2,0,0,,0,28.0,33.0,84.8,0.0,0,0.0,39.0,1.0,0.0,
Mathew Leckie,Australia,MF,,3,4,1,1,,1,67.0,103.0,65.0,4.0,1,6.0,157.0,7.0,0.1,
Mathew Ryan,Australia,GK,,4,4,0,0,,0,113.0,164.0,68.9,0.0,0,6.0,176.0,0.0,0.0,
Mathias Jensen,Denmark,MF,,0,2,0,0,,1,52.0,67.0,77.6,1.0,0,0.0,76.0,0.0,0.1,
Mathías Olivera,Uruguay,DF,,2,3,0,0,,0,104.0,133.0,78.2,9.0,2,10.0,178.0,2.0,0.1,
Matt Turner,United States,GK,,4,4,0,0,,0,101.0,128.0,78.9,0.0,0,1.0,137.0,0.0,0.0,
Matthias Ginter,Germany,DF,,0,1,0,0,,0,3.0,3.0,100.0,0.0,0,0.0,3.0,0.0,0.0,
Matthijs de Ligt,Netherlands,DF,,1,2,0,0,,0,41.0,45.0,91.1,0.0,0,4.0,49.0,1.0,0.0,
Matty Cash,Poland,DF,,4,4,0,0,,0,123.0,160.0,76.9,4.0,0,17.0,197.0,2.0,0.0,
Mattéo Guendouzi,France,FW,,0,1,0,0,,0,27.0,33.0,81.8,1.0,0,0.0,36.0,1.0,0.0,
Matías Vecino,Uruguay,MF,,2,3,0,0,,1,76.0,106.0,71.7,4.0,4,1.0,130.0,1.0,0.1,
Matías Viña,Uruguay,DF,,0,2,0,0,,0,11.0,21.0,52.4,4.0,0,0.0,26.0,1.0,0.0,
Maxi Gómez,Uruguay,FW,,0,2,0,0,,1,5.0,7.0,71.4,0.0,0,0.0,9.0,0.0,0.1,
Maya Yoshida,Japan,DF,,4,4,0,1,,0,198.0,232.0,85.3,4.0,3,24.0,277.0,1.0,0.0,
Mehdi Taremi,IR Iran,FW,,3,3,2,1,,1,58.0,78.0,74.4,4.0,2,3.0,123.0,5.0,1.3,
Mehdi Torabi,IR Iran,MF,,0,3,0,0,,0,30.0,37.0,81.1,1.0,2,0.0,48.0,0.0,0.1,
Memphis,Netherlands,FW,,3,5,1,0,,5,93.0,123.0,75.6,1.0,1,0.0,165.0,7.0,1.5,
Meshaal Barsham,Qatar,GK,,2,2,0,0,,0,45.0,63.0,71.4,0.0,0,1.0,69.0,0.0,0.0,
Michael Estrada,Ecuador,FW,,2,3,0,0,,0,28.0,50.0,56.0,1.0,0,0.0,71.0,2.0,0.3,
Michał Skóraś,Poland,MF,,0,1,0,0,,0,8.0,9.0,88.9,0.0,1,0.0,12.0,0.0,0.0,
Michel Aebischer,Switzerland,MF,,0,1,0,0,,0,2.0,4.0,50.0,0.0,0,0.0,4.0,0.0,0.0,
Michy Batshuayi,Belgium,FW,,1,2,1,0,,2,16.0,24.0,66.7,1.0,0,0.0,42.0,4.0,0.8,
Miki Yamane,Japan,DF,,0,1,0,0,,0,24.0,33.0,72.7,1.0,2,0.0,36.0,0.0,0.0,
Mikkel Damsgaard,Denmark,MF,,1,3,0,0,,0,55.0,72.0,76.4,4.0,2,1.0,91.0,2.0,0.0,
Milad Mohammadi,IR Iran,DF,,2,3,0,0,,0,44.0,68.0,64.7,10.0,1,6.0,90.0,2.0,0.0,
Milan Borjan,Canada,GK,,3,3,0,0,,0,76.0,98.0,77.6,0.0,0,2.0,105.0,0.0,0.0,
Miloš Degenek,Australia,DF,,2,4,0,0,,0,67.0,101.0,66.3,6.0,1,9.0,123.0,1.0,0.0,
