player,team,position,age,minutes,games,goals,assists,shots,shots_on_target,passes_completed,passes,passes_pct,tackles,interceptions,clearances,touches,dispossessed,xg,xg_assist
Ramin Rezaeian,IR Iran,DF,,2,2,1,0,,1,73.0,105.0,69.5,7.0,3,2.0,130.0,3.0,0.3,
Randal Kolo Muani,France,FW,,2,3,1,0,,2,25.0,44.0,56.8,7.0,1,1.0,76.0,6.0,1.1,
Raphaël Guerreiro,Portugal,DF,,3,4,1,2,,1,156.0,185.0,84.3,3.0,3,2.0,207.0,1.0,0.4,
Raphaël Varane,France,DF,,5,6,0,0,,0,256.0,286.0,89.5,1.0,6,15.0,322.0,0.0,0.3,
Raphinha,Brazil,FW,,3,5,0,1,,6,111.0,150.0,74.0,8.0,3,0.0,189.0,4.0,1.2,
Rasmus Nissen,Denmark,DF,,2,3,0,0,,0,137.0,179.0,76.5,8.0,1,7.0,204.0,3.0,0.0,
Raúl Jiménez,Mexico,FW,,0,3,0,0,,0,20.0,32.0,62.5,0.0,1,1.0,37.0,0.0,0.0,
Remo Freuler,Switzerland,MF,,3,4,1,0,,1,127.0,154.0,82.5,8.0,3,3.0,197.0,0.0,0.5,
Renato Steffen,Switzerland,FW,,0,1,0,0,,0,13.0,15.0,86.7,0.0,0,0.0,19.0,2.0,0.0,
Ricardo Horta,Portugal,FW,,1,3,1,0,,2,31.0,46.0,67.4,2.0,1,0.0,55.0,0.0,0.8,
Ricardo Rodríguez,Switzerland,DF,,4,4,0,0,,0,164.0,229.0,71.6,7.0,0,8.0,247.0,3.0,0.0,
Richarlison,Brazil,FW,,3,4,3,0,,4,40.0,58.0,69.0,2.0,1,4.0,97.0,3.0,2.1,
Richie Laryea,Canada,DF,,1,3,0,0,,0,35.0,47.0,74.5,3.0,0,3.0,73.0,1.0,0.1,
Riley McGree,Australia,FW,,2,4,0,1,,1,57.0,75.0,76.0,2.0,5,3.0,107.0,2.0,0.1,
Ritsu Doan,Japan,FW,,2,4,2,0,,3,36.0,56.0,64.3,6.0,3,2.0,95.0,3.0,0.5,
Riyadh Sharahili,Saudi Arabia,MF,,0,1,0,0,,0,14.0,17.0,82.4,0.0,2,4.0,28.0,1.0,0.0,
Roan Wilson,Costa Rica,MF,,0,1,0,0,,0,4.0,4.0,100.0,0.0,0,1.0,8.0,0.0,0.0,
Robert Lewandowski,Poland,FW,,4,4,2,1,,2,61.0,91.0,67.0,2.0,1,8.0,153.0,6.0,2.9,
Robert Skov,Denmark,DF,,0,1,0,0,,0,17.0,21.0,81.0,0.0,0,0.0,24.0,0.0,0.0,
Roberto Alvarado,Mexico,FW,,0,1,0,0,,0,5.0,10.0,50.0,0.0,0,0.0,12.0,0.0,0.0,
Rodri,Spain,DF,,4,4,0,0,,0,642.0,689.0,93.2,5.0,3,9.0,710.0,0.0,0.0,
Rodrigo Bentancur,Uruguay,MF,,2,3,0,0,,1,136.0,160.0,85.0,9.0,7,5.0,197.0,3.0,0.6,
Rodrigo De Paul,Argentina,MF,,6,7,0,0,,3,470.0,562.0,83.6,11.0,7,3.0,625.0,7.0,0.9,
Rodrygo,Brazil,MF,,2,5,0,1,,2,91.0,113.0,80.5,4.0,2,1.0,152.0,3.0,0.4,
Rogelio Funes Mori,Mexico,FW,,0,1,0,0,,0,0.0,0.0,,1.0,0,0.0,2.0,0.0,0.1,
Romain Saïss,Morocco,DF,,5,6,1,0,,1,159.0,199.0,79.9,5.0,3,30.0,248.0,0.0,0.8,
Romario Ibarra,Ecuador,MF,,0,2,0,0,,1,10.0,14.0,71.4,0.0,1,2.0,23.0,1.0,0.1,
Romelu Lukaku,Belgium,FW,,0,2,0,0,,2,6.0,9.0,66.7,0.0,0,1.0,16.0,1.0,1.7,
Roozbeh Cheshmi,IR Iran,DF,,0,2,1,0,,1,7.0,11.0,63.6,0.0,2,3.0,19.0,0.0,0.1,
Ruben Vargas,Switzerland,FW,,3,4,0,1,,1,80.0,117.0,68.4,0.0,1,4.0,140.0,1.0,0.3,
Rubin Colwill,Wales,MF,,0,1,0,0,,0,2.0,4.0,50.0,0.0,0,0.0,6.0,0.0,0.0,
Ró-Ró,Qatar,DF,,2,3,0,0,,0,78.0,108.0,72.2,6.0,8,3.0,134.0,2.0,0.1,
Rónald Matarrita,Costa Rica,DF,,0,2,0,0,,0,18.0,29.0,62.1,0.0,0,0.0,30.0,0.0,0.0,
Rúben Dias,Portugal,DF,,4,4,0,0,,0,248.0,274.0,90.5,4.0,3,9.0,293.0,1.0,0.0,
Rúben Neves,Portugal,MF,,3,5,0,0,,0,235.0,257.0,91.4,2.0,3,5.0,275.0,1.0,0.1,
Saad Al Sheeb,Qatar,GK,,1,1,0,0,,0,18.0,20.0,90.0,0.0,0,0.0,22.0,0.0,0.0,
Sadegh Moharrami,IR Iran,DF,,1,1,0,0,,0,18.0,26.0,69.2,1.0,1,3.0,32.0,2.0,0.0,
Saeid Ezatolahi,IR Iran,MF,,2,3,0,0,,1,66.0,88.0,75.0,6.0,2,4.0,115.0,0.0,0.1,
Saleh Al-Shehri,Saudi Arabia,FW,,2,3,1,0,,2,29.0,47.0,61.7,3.0,0,2.0,73.0,1.0,0.1,
Salem Al-Dawsari,Saudi Arabia,MF,,3,3,2,0,,4,86.0,111.0,77.5,5.0,1,2.0,146.0,6.0,1.8,
Salis Abdul Samed,Ghana,MF,,2,3,0,0,,0,129.0,145.0,89.0,2.0,4,8.0,169.0,2.0,0.0,
Salman Al-Faraj,Saudi Arabia,MF,,0,1,0,0,,0,12.0,16.0,75.0,1.0,0,0.0,19.0,2.0,0.0,
Sam Adekugbe,Canada,DF,,1,3,0,0,,0,63.0,71.0,88.7,0.0,1,1.0,77.0,0.0,0.0,
Saman Ghoddos,IR Iran,MF,,0,1,0,0,,0,15.0,20.0,75.0,1.0,0,0.0,24.0,1.0,0.2,
Sami Al-Najei,Saudi Arabia,MF,,0,1,0,0,,0,13.0,21.0,61.9,0.0,0,0.0,25.0,1.0,0.0,
Samuel Oum Gouet,Cameroon,MF,,1,2,0,0,,0,52.0,59.0,88.1,1.0,0,3.0,65.0,0.0,0.0,
Sardar Azmoun,IR Iran,FW,,1,3,0,0,,3,18.0,30.0,60.0,0.0,0,1.0,40.0,0.0,0.9,
Saud Abdulhamid,Saudi Arabia,DF,,3,3,0,0,,0,88.0,122.0,72.1,5.0,2,6.0,150.0,1.0,0.0,
Saša Lukić,Serbia,MF,,2,3,0,0,,0,143.0,162.0,88.3,2.0,1,5.0,182.0,2.0,0.1,
Sebastian Szymański,Poland,MF,,1,2,0,0,,0,26.0,41.0,63.4,6.0,2,1.0,61.0,2.0,0.0,
Sebastián Coates,Uruguay,DF,,2,2,0,0,,0,76.0,93.0,81.7,1.0,1,6.0,107.0,2.0,0.1,
Selim Amallah,Morocco,MF,,4,7,0,0,,0,65.0,87.0,74.7,13.0,8,3.0,145.0,5.0,0.2,
Serge Gnabry,Germany,FW,,2,3,1,1,,4,86.0,118.0,72.9,5.0,2,3.0,148.0,7.0,1.1,
Sergej Milinković-Savić,Serbia,MF,,2,3,1,0,,1,87.0,120.0,72.5,5.0,2,5.0,158.0,2.0,0.2,
Sergio Busquets,Spain,MF,,4,4,0,0,,0,261.0,289.0,90.3,7.0,1,1.0,309.0,2.0,0.1,
Sergio Rochet,Uruguay,GK,,3,3,0,0,,0,54.0,78.0,69.2,0.0,0,1.0,88.0,0.0,0.0,
Sergiño Dest,United States,DF,,3,4,0,1,,0,172.0,200.0,86.0,4.0,2,7.0,250.0,8.0,0.2,
Shaquell Moore,United States,DF,,0,2,0,0,,0,14.0,21.0,66.7,2.0,0,3.0,27.0,0.0,0.0,
Shogo Taniguchi,Japan,DF,,2,2,0,0,,0,72.0,85.0,84.7,1.0,1,10.0,105.0,0.0,0.2,
Shūichi Gonda,Japan,GK,,4,4,0,0,,0,68.0,113.0,60.2,0.0,0,1.0,124.0,0.0,0.0,
Silvan Widmer,Switzerland,DF,,2,3,0,1,,0,127.0,169.0,75.1,10.0,2,15.0,208.0,6.0,0.0,
Simon Kjær,Denmark,DF,,0,1,0,0,,0,50.0,59.0,84.7,0.0,5,2.0,68.0,0.0,0.0,
Sofiane Boufal,Morocco,FW,,5,7,0,0,,1,99.0,133.0,74.4,11.0,2,1.0,199.0,5.0,0.3,
Sofyan Amrabat,Morocco,MF,,7,7,0,0,,0,269.0,322.0,83.5,16.0,6,10.0,383.0,3.0,0.0,
Son Heung-min,Korea Republic,FW,,4,4,0,1,,3,77.0,115.0,67.0,5.0,2,0.0,158.0,6.0,0.4,
Son Jun-ho,Korea Republic,MF,,0,3,0,0,,0,55.0,59.0,93.2,3.0,3,0.0,68.0,0.0,0.0,
Sorba Thomas,Wales,MF,,0,1,0,0,,0,3.0,4.0,75.0,1.0,0,0.0,6.0,1.0,0.0,
Srđan Babić,Serbia,DF,,0,1,0,0,,0,10.0,16.0,62.5,1.0,0,1.0,16.0,0.0,0.0,
Stefan Mitrović,Serbia,DF,,0,1,0,0,,0,18.0,21.0,85.7,0.0,0,0.0,22.0,0.0,0.0,
Stephen Eustáquio,Canada,MF,,1,2,0,0,,0,83.0,93.0,89.2,4.0,2,6.0,109.0,2.0,0.2,
Steve Mandanda,France,GK,,1,1,0,0,,0,19.0,31.0,61.3,0.0,0,0.0,32.0,0.0,0.0,
Steven Berghuis,Netherlands,MF,,2,4,0,1,,0,97.0,131.0,74.0,2.0,0,0.0,141.0,1.0,0.3,
Steven Bergwijn,Netherlands,FW,,2,4,0,0,,0,64.0,72.0,88.9,1.0,0,0.0,85.0,2.0,0.5,
Steven Vitória,Canada,DF,,3,3,0,0,,0,160.0,186.0,86.0,3.0,0,7.0,203.0,1.0,0.0,
Strahinja Pavlović,Serbia,DF,,2,3,1,0,,1,121.0,156.0,77.6,7.0,1,7.0,186.0,3.0,0.2,
Sultan Al-Ghanam,Saudi Arabia,DF,,1,3,0,0,,0,34.0,52.0,65.4,0.0,2,3.0,68.0,1.0,0.2,
Taha Yassine Khenissi,Tunisia,FW,,0,2,0,0,,0,2.0,6.0,33.3,0.0,0,0.0,8.0,2.0,0.0,
Tajon Buchanan,Canada,MF,,2,3,0,1,,0,61.0,89.0,68.5,1.0,3,0.0,131.0,7.0,0.9,
Takefusa Kubo,Japan,FW,,1,2,0,0,,0,6.0,11.0,54.5,1.0,0,0.0,23.0,1.0,0.0,
Takehiro Tomiyasu,Japan,DF,,2,3,0,0,,0,73.0,103.0,70.9,0.0,0,7.0,118.0,0.0,0.0,
Takuma Asano,Japan,FW,,1,4,1,0,,2,21.0,28.0,75.0,0.0,1,1.0,49.0,1.0,0.7,
Takumi Minamino,Japan,FW,,0,3,0,0,,1,14.0,22.0,63.6,2.0,0,1.0,32.0,2.0,0.1,
Tarek Salman,Qatar,DF,,0,1,0,0,,0,7.0,10.0,70.0,1.0,1,0.0,14.0,0.0,0.0,
Tariq Lamptey,Ghana,DF,,1,2,0,0,,0,21.0,34.0,61.8,3.0,1,4.0,50.0,1.0,0.1,
Teun Koopmeiners,Netherlands,MF,,2,5,0,1,,1,90.0,119.0,75.6,10.0,4,4.0,149.0,4.0,0.1,
Theo Hernández,France,DF,,5,6,1,2,,2,289.0,339.0,85.3,16.0,4,8.0,383.0,5.0,0.4,
Thiago Almada,Argentina,MF,,0,1,0,0,,0,13.0,13.0,100.0,0.0,0,0.0,15.0,0.0,0.0,
Thiago Silva,Brazil,DF,,4,4,0,1,,0,322.0,344.0,93.6,3.0,5,6.0,368.0,0.0,0.2,
Thibaut Courtois,Belgium,GK,,3,3,0,0,,0,108.0,123.0,87.8,0.0,0,0.0,129.0,0.0,0.0,
Thilo Kehrer,Germany,DF,,0,1,0,0,,0,22.0,29.0,75.9,6.0,3,2.0,43.0,0.0,0.0,
Thomas Delaney,Denmark,MF,,0,1,0,0,,0,24.0,29.0,82.8,1.0,0,1.0,31.0,0.0,0.0,
Thomas Meunier,Belgium,DF,,2,3,0,0,,1,110.0,147.0,74.8,6.0,2,5.0,167.0,1.0,0.2,
Thomas Müller,Germany,FW,,2,3,0,0,,0,56.0,78.0,71.8,2.0,1,0.0,91.0,2.0,0.3,
Thomas Partey,Ghana,MF,,3,3,0,0,,0,146.0,176.0,83.0,9.0,0,8.0,220.0,4.0,0.2,
Thorgan Hazard,Belgium,FW,,1,2,0,0,,0,40.0,58.0,69.0,3.0,0,0.0,66.0,0.0,0.0,
Tim Ream,United States,DF,,4,4,0,0,,0,245.0,276.0,88.8,4.0,4,12.0,305.0,0.0,0.3,
Timothy Castagne,Belgium,DF,,3,3,0,0,,0,176.0,202.0,87.1,7.0,2,4.0,229.0,0.0,0.0,
Timothy Weah,United States,FW,,3,4,1,0,,3,90.0,108.0,83.3,0.0,0,0.0,132.0,5.0,0.6,
Toby Alderweireld,Belgium,DF,,3,3,0,1,,0,248.0,273.0,90.8,4.0,0,19.0,303.0,0.0,0.0,
Trent Alexander-Arnold,England,DF,,0,1,0,0,,0,21.0,23.0,91.3,0.0,0,0.0,24.0,0.0,0.0,
Tyler Adams,United States,MF,,4,4,0,0,,0,241.0,271.0,88.9,11.0,4,6.0,307.0,3.0,0.0,
Unai Simón,Spain,GK,,4,4,0,0,,0,150.0,160.0,93.8,0.0,0,2.0,167.0,0.0,0.0,
Uriel Antuna,Mexico,FW,,0,3,0,0,,1,12.0,20.0,60.0,4.0,0,0.0,33.0,0.0,0.2,
Vanja Milinković-Savić,Serbia,GK,,3,3,0,0,,0,90.0,125.0,72.0,0.0,1,2.0,136.0,0.0,0.0,
Victor Nelsson,Denmark,DF,,1,1,0,0,,0,69.0,74.0,93.2,0.0,2,1.0,79.0,0.0,0.0,
Vincent Aboubakar,Cameroon,FW,,1,3,2,1,,3,20.0,31.0,64.5,0.0,0,4.0,50.0,0.0,0.6,
Vincent Janssen,Netherlands,FW,,1,2,0,0,,0,16.0,20.0,80.0,2.0,0,1.0,32.0,1.0,0.1,
Vinicius Júnior,Brazil,FW,,3,4,1,2,,4,68.0,90.0,75.6,3.0,0,0.0,132.0,11.0,1.0,
Virgil van Dijk,Netherlands,DF,,5,5,0,0,,0,311.0,356.0,87.4,2.0,4,21.0,399.0,0.0,0.2,
Vitinha,Portugal,MF,,1,3,0,0,,2,100.0,108.0,92.6,3.0,1,1.0,118.0,1.0,0.1,
Wahbi Khazri,Tunisia,FW,,0,2,1,0,,3,13.0,20.0,65.0,2.0,0,0.0,36.0,2.0,0.4,
Wajdi Kechrida,Tunisia,DF,,1,3,0,0,,0,44.0,69.0,63.8,3.0,0,4.0,77.0,3.0,0.0,
Walid Cheddira,Morocco,FW,,0,2,0,0,,1,4.0,8.0,50.0,1.0,0,2.0,18.0,0.0,0.5,
Walker Zimmerman,United States,DF,,3,4,0,0,,0,217.0,244.0,88.9,3.0,4,15.0,274.0,0.0,0.1,
Wataru Endo,Japan,MF,,3,4,0,0,,1,155.0,192.0,80.7,8.0,3,6.0,239.0,5.0,0.2,
Wayne Hennessey,Wales,GK,,1,2,0,0,,0,50.0,66.0,75.8,0.0,0,0.0,68.0,0.0,0.0,
Weston McKennie,United States,MF,,3,4,0,0,,1,117.0,153.0,76.5,2.0,0,5.0,177.0,3.0,0.4,
William Carvalho,Portugal,MF,,2,4,0,0,,0,156.0,170.0,91.8,6.0,0,3.0,182.0,0.0,0.1,
William Saliba,France,DF,,0,1,0,0,,0,37.0,37.0,100.0,0.0,0,0.0,38.0,0.0,0.0,
Wojciech Szczęsny,Poland,GK,,4,4,0,0,,0,84.0,142.0,59.2,0.0,0,4.0,159.0,0.0,0.0,
Wout Weghorst,Netherlands,FW,,0,4,2,0,,2,9.0,15.0,60.0,0.0,0,1.0,22.0,0.0,0.2,
Wéverton,Brazil,GK,,0,1,0,0,,0,3.0,5.0,60.0,0.0,0,0.0,5.0,0.0,0.0,
Xavi Simons,Netherlands,FW,,0,1,0,0,,0,6.0,10.0,60.0,1.0,0,0.0,11.0,0.0,0.0,
Xherdan Shaqiri,Switzerland,FW,,2,3,1,1,,2,67.0,104.0,64.4,0.0,0,0.0,111.0,5.0,0.3,
Yahya Attiat Allah,Morocco,DF,,3,6,0,1,,0,98.0,137.0,71.5,4.0,0,15.0,167.0,2.0,0.2,
Yahya Jabrane,Morocco,MF,,0,2,0,0,,0,,,,,0,,,,,
Yann Sommer,Switzerland,GK,,3,3,0,0,,0,108.0,118.0,91.5,0.0,0,0.0,126.0,0.0,0.0,
Yannick Carrasco,Belgium,FW,,1,2,0,0,,0,39.0,46.0,84.8,5.0,1,4.0,68.0,2.0,0.3,
Yasser Al-Shahrani,Saudi Arabia,DF,,1,1,0,0,,0,13.0,29.0,44.8,3.0,6,6.0,43.0,0.0,0.0,
Yassine Bounou,Morocco,GK,,6,6,0,0,,0,154.0,209.0,73.7,0.0,0,5.0,219.0,0.0,0.0,
Yassine Meriah,Tunisia,DF,,3,3,0,0,,0,139.0,171.0,81.3,4.0,1,20.0,208.0,0.0,0.1,
Yeltsin Tejeda,Costa Rica,MF,,3,3,1,1,,2,78.0,99.0,78.8,4.0,1,7.0,128.0,2.0,0.4,
Youri Tielemans,Belgium,MF,,1,3,0,0,,0,53.0,64.0,82.8,3.0,2,0.0,77.0,0.0,0.0,
Youssef En-Nesyri,Morocco,FW,,6,7,2,0,,3,50.0,81.0,61.7,3.0,1,11.0,127.0,1.0,1.2,
Youssef Msakni,Tunisia,MF,,1,2,0,0,,2,50.0,69.0,72.5,3.0,0,1.0,95.0,5.0,0.5,
Youssouf Fofana,France,MF,,2,6,0,0,,0,96.0,112.0,85.7,8.0,3,0.0,138.0,3.0,0.2,
Youssouf Sabaly,Senegal,DF,,4,4,0,0,,1,189.0,219.0,86.3,6.0,4,9.0,253.0,1.0,0.0,
Youssoufa Moukoko,Germany,FW,,0,1,0,0,,0,1.0,2.0,50.0,0.0,0,0.0,2.0,0.0,0.0,
Youstin Salas,Costa Rica,DF,,0,2,0,0,,0,15.0,19.0,78.9,5.0,0,1.0,27.0,1.0,0.0,
Yuki Soma,Japan,FW,,0,1,0,0,,0,11.0,19.0,57.9,2.0,0,0.0,26.0,0.0,0.2,
Yunus Musah,United States,MF,,3,4,0,0,,1,151.0,182.0,83.0,8.0,2,1.0,221.0,3.0,0.3,
Yuto Nagatomo,Japan,MF,,2,4,0,0,,0,78.0,109.0,71.6,4.0,0,3.0,123.0,1.0,0.0,
Zakaria Aboukhlal,Morocco,FW,,0,4,1,0,,2,7.0,14.0,50.0,1.0,1,1.0,26.0,0.0,1.0,
Álvaro Morata,Spain,FW,,2,4,3,1,,5,28.0,41.0,68.3,1.0,0,2.0,58.0,5.0,1.4,
Álvaro Zamora,Costa Rica,MF,,0,1,0,0,,0,5.0,5.0,100.0,2.0,1,0.0,9.0,1.0,0.0,
Ángel Correa,Argentina,MF,,0,1,0,0,,0,3.0,3.0,100.0,1.0,0,1.0,6.0,0.0,0.0,
Ángel Di María,Argentina,MF,,3,5,1,1,,3,130.0,168.0,77.4,3.0,1,0.0,201.0,6.0,0.8,
Ángelo Preciado,Ecuador,DF,,2,3,0,1,,0,94.0,129.0,72.9,7.0,6,4.0,162.0,2.0,0.1,
Éder Militão,Brazil,DF,,3,4,0,0,,1,251.0,277.0,90.6,7.0,3,5.0,306.0,1.0,0.2,
Óscar Duarte,Costa Rica,DF,,3,3,0,0,,0,68.0,98.0,69.4,4.0,6,15.0,132.0,0.0,0.0,
İlkay Gündoğan,Germany,MF,,2,3,1,0,,2,150.0,168.0,89.3,3.0,1,1.0,187.0,1.0,1.1,
