player_id,player_name,team_id,team_name,position,age
141,Daley Blind,104,Netherlands,DF,
142,Damian Szymański,112,Poland,MF,
143,Dani Alves,129,Brazil,DF,
144,Dani Carvajal,119,Spain,DF,
145,Dani Olmo,119,Spain,FW,
146,Daniel Amartey,128,Ghana,DF,
147,Daniel Chacón,120,Costa Rica,MF,
148,Daniel James,106,Wales,FW,
149,Daniel Kyereh,128,Ghana,MF,
150,Danilo,129,Brazil,DF,
151,Danilo Pereira,127,Portugal,DF,
152,Danny Ward,106,Wales,GK,
153,Darko Lazović,130,Serbia,DF,
154,Darwin Núñez,125,Uruguay,FW,
155,David Raum,117,Germany,DF,
156,David Wotherspoon,122,Canada,MF,
157,Davy Klaassen,104,Netherlands,MF,
158,Dayot Upamecano,113,France,DF,
159,DeAndre Yedlin,105,United States,DF,
160,Declan Rice,101,England,MF,
161,Dejan Lovren,116,Croatia,DF,
162,Denis Odoi,128,Ghana,DF,
163,Denis Zakaria,123,Switzerland,MF,
164,Denzel Dumfries,104,Netherlands,DF,
165,Devis Epassy,124,Cameroon,GK,
166,Diego Godín,125,Uruguay,DF,
167,Diogo Costa,127,Portugal,GK,
168,Diogo Dalot,127,Portugal,DF,
169,Djibril Sow,123,Switzerland,MF,
170,Djorkaeff Reasco,100,Ecuador,FW,
171,Dominik Livaković,116,Croatia,GK,
172,Dries Mertens,121,Belgium,MF,
173,Dušan Tadić,130,Serbia,MF,
174,Dušan Vlahović,130,Serbia,FW,
175,Dylan Bronn,110,Tunisia,DF,
176,Eden Hazard,121,Belgium,MF,
177,Ederson,129,Brazil,GK,
178,Edimilson Fernandes,123,Switzerland,FW,
179,Edinson Cavani,125,Uruguay,FW,
180,Edouard Mendy,103,Senegal,GK,
181,Edson Álvarez,111,Mexico,MF,
182,Eduardo Camavinga,113,France,DF,
183,Ehsan Hajsafi,102,IR Iran,MF,
184,Ellyes Skhiri,110,Tunisia,MF,
185,Emiliano Martínez,107,Argentina,GK,
186,Enner Valencia,100,Ecuador,FW,
187,Enzo Ebosse,124,Cameroon,DF,
188,Enzo Fernández,107,Argentina,MF,
189,Eray Cömert,123,Switzerland,DF,
190,Eric Dier,101,England,DF,
191,Eric Maxim Choupo-Moting,124,Cameroon,FW,
192,Erick Gutiérrez,111,Mexico,MF,
193,Ethan Ampadu,106,Wales,MF,
194,Everton Ribeiro,129,Brazil,MF,
195,Exequiel Palacios,107,Argentina,MF,
196,Fabian Frei,123,Switzerland,MF,
197,Fabian Rieder,123,Switzerland,FW,
198,Fabian Schär,123,Switzerland,DF,
199,Fabinho,129,Brazil,MF,
200,Facundo Pellistri,125,Uruguay,MF,
201,Famara Diedhiou,103,Senegal,FW,
202,Federico Valverde,125,Uruguay,MF,
203,Ferjani Sassi,110,Tunisia,MF,
204,Ferrán Torres,119,Spain,FW,
205,Filip Kostić,130,Serbia,DF,
206,Filip Mladenović,130,Serbia,DF,
207,Filip Đuričić,130,Serbia,MF,
208,Firas Al-Buraikan,108,Saudi Arabia,MF,
209,Fodé Ballo-Touré,103,Senegal,DF,
210,Fran Karačić,114,Australia,DF,
211,Francisco Calvo,120,Costa Rica,DF,
212,Fred,129,Brazil,MF,
213,Frenkie de Jong,104,Netherlands,MF,
214,Félix Torres Caicedo,100,Ecuador,DF,
215,Gabriel Jesus,129,Brazil,FW,
216,Garang Kuol,114,Australia,FW,
217,Gareth Bale,106,Wales,FW,
218,Gavi,119,Spain,MF,
219,Gaël Ondoua,124,Cameroon,MF,
220,Georges-Kévin N'Koudou,124,Cameroon,FW,
221,Germán Pezzella,107,Argentina,DF,
222,Gerson Torres,120,Costa Rica,MF,
223,Ghaylène Chaalali,110,Tunisia,MF,
224,Gideon Mensah,128,Ghana,DF,
225,Gio Reyna,105,United States,FW,
226,Giorgian De Arrascaeta,125,Uruguay,MF,
227,Gleison Bremer,129,Brazil,DF,
228,Gonzalo Montiel,107,Argentina,DF,
229,Gonzalo Plata,100,Ecuador,MF,
230,Gonçalo Ramos,127,Portugal,FW,
231,Granit Xhaka,123,Switzerland,MF,
232,Gregor Kobel,123,Switzerland,GK,
233,Grzegorz Krychowiak,112,Poland,MF,
234,Guido Rodríguez,107,Argentina,MF,
235,Guillermo Ochoa,111,Mexico,GK,
236,Guillermo Varela,125,Uruguay,DF,
237,Haji Wright,105,United States,FW,
238,Hakim Ziyech,115,Morocco,FW,
239,Hannibal Mejbri,110,Tunisia,MF,
240,Haris Seferović,123,Switzerland,FW,
241,Harry Kane,101,England,FW,
242,Harry Maguire,101,England,DF,
243,Harry Souttar,114,Australia,DF,
244,Harry Wilson,106,Wales,MF,
245,Hassan Al Tambakti,108,Saudi Arabia,DF,
246,Hassan Al-Haydos,99,Qatar,MF,
247,Hattan Bahebri,108,Saudi Arabia,MF,
248,Henry Martín,111,Mexico,FW,
249,Hernán Galíndez,100,Ecuador,GK,
250,Hidemasa Morita,118,Japan,MF,
251,Hiroki Ito,118,Japan,DF,
252,Hiroki Sakai,118,Japan,MF,
253,Hirving Lozano,111,Mexico,FW,
254,Homam Ahmed,99,Qatar,DF,
255,Hong Chul,126,Korea Republic,DF,
256,Hossein Hosseini,102,IR Iran,GK,
257,Hossein Kanaanizadegan,102,IR Iran,DF,
258,Hugo Lloris,113,France,GK,
259,Hwang Hee-chan,126,Korea Republic,MF,
260,Hwang In-beom,126,Korea Republic,MF,
261,Hwang Ui-jo,126,Korea Republic,FW,
262,Héctor Herrera,111,Mexico,MF,
263,Héctor Moreno,111,Mexico,DF,
264,Ibrahima Konaté,113,France,DF,
265,Idrissa Gana Gueye,103,Senegal,MF,
266,Ilias Chair,115,Morocco,MF,
267,Iliman Ndiaye,103,Senegal,FW,
268,Ismail Jakobs,103,Senegal,DF,
269,Ismail Mohamad,99,Qatar,FW,
270,Ismaila Sarr,103,Senegal,FW,
271,Ismaël Koné,122,Canada,MF,
272,Issam Jebali,110,Tunisia,FW,
273,Ivan Ilić,130,Serbia,MF,
274,Ivan Perišić,116,Croatia,FW,
275,Iñaki Williams,128,Ghana,FW,
276,Jack Grealish,101,England,FW,
277,Jackson Irvine,114,Australia,MF,
278,Jackson Porozo,100,Ecuador,DF,
279,Jakub Kamiński,112,Poland,MF,
280,Jakub Kiwior,112,Poland,DF,
281,Jamal Musiala,117,Germany,MF,
282,Jamie Maclaren,114,Australia,FW,
283,Jan Bednarek,112,Poland,DF,
284,Jan Vertonghen,121,Belgium,DF,
285,Jason Cummings,114,Australia,FW,
286,Jawad El Yamiq,115,Morocco,DF,
287,Jean-Charles Castelletto,124,Cameroon,DF,
288,Jeong Woo-yeong,126,Korea Republic,MF,
289,Jeremy Doku,121,Belgium,MF,
290,Jeremy Sarmiento,100,Ecuador,MF,
291,Jerome Ngom Mbekeli,124,Cameroon,MF,
292,Jesper Lindstrøm,109,Denmark,MF,
293,Jesús Ferreira,105,United States,FW,
294,Jesús Gallardo,111,Mexico,DF,
295,Jewison Bennette,120,Costa Rica,MF,
296,Jhegson Méndez,100,Ecuador,MF,
297,Joachim Andersen,109,Denmark,DF,
298,Joakim Mæhle,109,Denmark,DF,
299,Joe Allen,106,Wales,MF,
300,Joe Morrell,106,Wales,MF,
301,Joe Rodon,106,Wales,DF,
302,Joel Campbell,120,Costa Rica,FW,
303,Johan Venegas,120,Costa Rica,FW,
304,John Stones,101,England,DF,
305,Jonas Hofmann,117,Germany,FW,
306,Jonathan David,122,Canada,FW,
307,Jonathan Osorio,122,Canada,MF,
308,Jordan Ayew,128,Ghana,FW,
309,Jordan Henderson,101,England,MF,
310,Jordan Morris,105,United States,FW,
311,Jordan Pickford,101,England,GK,
312,Jordan Veretout,113,France,MF,
313,Jordi Alba,119,Spain,DF,
314,Jorge Eduardo Sánchez,111,Mexico,DF,
315,Josh Sargent,105,United States,FW,
316,Joshua Kimmich,117,Germany,MF,
317,Josip Juranović,116,Croatia,DF,
318,Josip Stanišić,116,Croatia,DF,
319,Josip Šutalo,116,Croatia,DF,
320,José Cifuentes,100,Ecuador,MF,
321,José María Giménez,125,Uruguay,DF,
322,João Cancelo,127,Portugal,DF,
323,João Félix,127,Portugal,FW,
324,João Mário,127,Portugal,FW,
325,João Palhinha,127,Portugal,MF,
326,Joško Gvardiol,116,Croatia,DF,
327,Juan Foyth,107,Argentina,DF,
328,Juan Pablo Vargas,120,Costa Rica,DF,
329,Jude Bellingham,101,England,MF,
330,Jules Koundé,113,France,DF,
331,Julián Álvarez,107,Argentina,FW,
332,Jung Woo-young,126,Korea Republic,MF,
333,Junior Hoilett,122,Canada,FW,
334,Junya Ito,118,Japan,MF,
335,Jurriën Timber,104,Netherlands,DF,
336,Kai Havertz,117,Germany,FW,
337,Kalidou Koulibaly,103,Senegal,DF,
338,Kalvin Phillips,101,England,MF,
339,Kamal Miller,122,Canada,DF,
340,Kamaldeen Sulemana,128,Ghana,FW,
341,Kamil Glik,112,Poland,DF,
342,Kamil Grosicki,112,Poland,MF,
343,Kaoru Mitoma,118,Japan,MF,
344,Karim Ansarifard,102,IR Iran,FW,
345,Karim Boudiaf,99,Qatar,MF,
346,Karl Toko Ekambi,124,Cameroon,FW,
347,Karol Świderski,112,Poland,FW,
348,Kasper Dolberg,109,Denmark,FW,
349,Kasper Schmeichel,109,Denmark,GK,
350,Keanu Baccus,114,Australia,MF,
351,Kellyn Acosta,105,United States,MF,
352,Kendall Waston,120,Costa Rica,DF,
353,Kenneth Taylor,104,Netherlands,MF,
354,Kevin De Bruyne,121,Belgium,FW,
355,Kevin Rodríguez,100,Ecuador,FW,
356,Kevin Álvarez,111,Mexico,DF,
357,Keylor Navas,120,Costa Rica,GK,
358,Keysher Fuller,120,Costa Rica,DF,
359,Kieffer Moore,106,Wales,FW,
360,Kieran Trippier,101,England,DF,
361,Kim Jin-su,126,Korea Republic,DF,
362,Kim Min-jae,126,Korea Republic,DF,
363,Kim Moonhwan,126,Korea Republic,DF,
364,Kim Seung-gyu,126,Korea Republic,GK,
365,Kim Young-gwon,126,Korea Republic,DF,
366,Kingsley Coman,113,France,FW,
367,Ko Itakura,118,Japan,DF,
368,Koke,119,Spain,MF,
369,Kristijan Jakić,116,Croatia,FW,
370,Krystian Bielik,112,Poland,MF,
371,Krzysztof Piątek,112,Poland,FW,
372,Krépin Diatta,103,Senegal,FW,
373,Kudus Mohammed,128,Ghana,FW,
374,Kwon Chang-hoon,126,Korea Republic,FW,
375,Kwon Kyung-won,126,Korea Republic,DF,
376,Kye Rowles,114,Australia,DF,
377,Kyle Walker,101,England,DF,
378,Kylian Mbappé,113,France,FW,
379,Lautaro Martínez,107,Argentina,FW,
380,Lawrence Ati-Zigi,128,Ghana,GK,
381,Leander Dendoncker,121,Belgium,DF,
382,Leandro Paredes,107,Argentina,MF,
383,Leandro Trossard,121,Belgium,FW,
384,Lee Jae-sung,126,Korea Republic,MF,
