player_id,team_id,player,team,position,age,minutes,games,goals,assists,shots,shots_on_target,passes_completed,passes,passes_pct,tackles,interceptions,clearances,touches,dispossessed,xg,xg_assist
603,122,Steven Vitória,Canada,DF,,3,3,0,0,,0,160.0,186.0,86.0,3.0,0,7.0,203.0,1.0,0.0,
604,130,Strahinja Pavlović,Serbia,DF,,2,3,1,0,,1,121.0,156.0,77.6,7.0,1,7.0,186.0,3.0,0.2,
605,108,Sultan Al-Ghanam,Saudi Arabia,DF,,1,3,0,0,,0,34.0,52.0,65.4,0.0,2,3.0,68.0,1.0,0.2,
606,110,Taha Yassine Khenissi,Tunisia,FW,,0,2,0,0,,0,2.0,6.0,33.3,0.0,0,0.0,8.0,2.0,0.0,
607,122,Tajon Buchanan,Canada,MF,,2,3,0,1,,0,61.0,89.0,68.5,1.0,3,0.0,131.0,7.0,0.9,
608,118,Takefusa Kubo,Japan,FW,,1,2,0,0,,0,6.0,11.0,54.5,1.0,0,0.0,23.0,1.0,0.0,
609,118,Takehiro Tomiyasu,Japan,DF,,2,3,0,0,,0,73.0,103.0,70.9,0.0,0,7.0,118.0,0.0,0.0,
610,118,Takuma Asano,Japan,FW,,1,4,1,0,,2,21.0,28.0,75.0,0.0,1,1.0,49.0,1.0,0.7,
611,118,Takumi Minamino,Japan,FW,,0,3,0,0,,1,14.0,22.0,63.6,2.0,0,1.0,32.0,2.0,0.1,
612,99,Tarek Salman,Qatar,DF,,0,1,0,0,,0,7.0,10.0,70.0,1.0,1,0.0,14.0,0.0,0.0,
613,128,Tariq Lamptey,Ghana,DF,,1,2,0,0,,0,21.0,34.0,61.8,3.0,1,4.0,50.0,1.0,0.1,
614,104,Teun Koopmeiners,Netherlands,MF,,2,5,0,1,,1,90.0,119.0,75.6,10.0,4,4.0,149.0,4.0,0.1,
615,113,Theo Hernández,France,DF,,5,6,1,2,,2,289.0,339.0,85.3,16.0,4,8.0,383.0,5.0,0.4,
616,107,Thiago Almada,Argentina,MF,,0,1,0,0,,0,13.0,13.0,100.0,0.0,0,0.0,15.0,0.0,0.0,
617,129,Thiago Silva,Brazil,DF,,4,4,0,1,,0,322.0,344.0,93.6,3.0,5,6.0,368.0,0.0,0.2,
618,121,Thibaut Courtois,Belgium,GK,,3,3,0,0,,0,108.0,123.0,87.8,0.0,0,0.0,129.0,0.0,0.0,
619,117,Thilo Kehrer,Germany,DF,,0,1,0,0,,0,22.0,29.0,75.9,6.0,3,2.0,43.0,0.0,0.0,
620,109,Thomas Delaney,Denmark,MF,,0,1,0,0,,0,24.0,29.0,82.8,1.0,0,1.0,31.0,0.0,0.0,
621,121,Thomas Meunier,Belgium,DF,,2,3,0,0,,1,110.0,147.0,74.8,6.0,2,5.0,167.0,1.0,0.2,
622,117,Thomas Müller,Germany,FW,,2,3,0,0,,0,56.0,78.0,71.8,2.0,1,0.0,91.0,2.0,0.3,
623,128,Thomas Partey,Ghana,MF,,3,3,0,0,,0,146.0,176.0,83.0,9.0,0,8.0,220.0,4.0,0.2,
624,121,Thorgan Hazard,Belgium,FW,,1,2,0,0,,0,40.0,58.0,69.0,3.0,0,0.0,66.0,0.0,0.0,
625,105,Tim Ream,United States,DF,,4,4,0,0,,0,245.0,276.0,88.8,4.0,4,12.0,305.0,0.0,0.3,
626,121,Timothy Castagne,Belgium,DF,,3,3,0,0,,0,176.0,202.0,87.1,7.0,2,4.0,229.0,0.0,0.0,
627,105,Timothy Weah,United States,FW,,3,4,1,0,,3,90.0,108.0,83.3,0.0,0,0.0,132.0,5.0,0.6,
628,121,Toby Alderweireld,Belgium,DF,,3,3,0,1,,0,248.0,273.0,90.8,4.0,0,19.0,303.0,0.0,0.0,
629,101,Trent Alexander-Arnold,England,DF,,0,1,0,0,,0,21.0,23.0,91.3,0.0,0,0.0,24.0,0.0,0.0,
630,105,Tyler Adams,United States,MF,,4,4,0,0,,0,241.0,271.0,88.9,11.0,4,6.0,307.0,3.0,0.0,
631,119,Unai Simón,Spain,GK,,4,4,0,0,,0,150.0,160.0,93.8,0.0,0,2.0,167.0,0.0,0.0,
632,111,Uriel Antuna,Mexico,FW,,0,3,0,0,,1,12.0,20.0,60.0,4.0,0,0.0,33.0,0.0,0.2,
